planet_name,host_star,star_temperature_K,stellar_radius_solar,stellar_mass_solar_masses,stellar_metallicity,planet_type,planet_mass_earth,planet_radius_earth,stellar_flux_earth,surface_temperature_K,orbital_period_days,distance_light_years,planet_age_gigayears,earth_similarity_index
GJ 1002 b,GJ 1002,3024.0,0.137,0.12,-0.25,M Warm Terran,1.08,1.03,0.673236416803487,260.5958054292739,10.3465,15.8142281252,4.0,0.8615154553633029
GJ 1002 c,GJ 1002,3024.0,0.137,0.12,-0.25,M Warm Terran,1.36,1.1,0.2581590037033207,205.067737602367,21.202,15.8142281252,4.0,0.5817152529716992
GJ 1061 c,GJ 1061,2953.0,0.156,0.12,-0.08,M Warm Terran,1.74,1.18,1.448571317858297,310.4958039055941,6.689,11.9789923368,7.0,0.8579105793021902
GJ 1061 c,GJ 1061,2953.0,0.156,0.12,-0.08,M Warm Terran,1.74,1.18,1.448571317858297,310.4958039055941,6.689,11.9789923368,7.0,0.8579105793021902
GJ 1061 d,GJ 1061,2953.0,0.156,0.12,-0.08,M Warm Terran,1.64,1.16,0.686780310851125,246.5756326354671,13.031,11.9789923368,7.0,0.8586351119602917
GJ 1061 d,GJ 1061,2953.0,0.156,0.12,-0.08,M Warm Terran,1.64,1.16,0.686780310851125,246.5756326354671,13.031,11.9789923368,7.0,0.8586351119602917
GJ 163 c,GJ 163,5589.0,0.9583,0.96,0.017,M Warm Superterran,6.8,2.5,1.251825186720362,303.7456203463058,25.63058,49.34251046,6.0,0.6868069550849005
GJ 180 c,GJ 180,3371.0,0.9583,0.43,0.017,M Warm Superterran,6.4,2.41,0.7844885952402295,270.3400124979786,24.329,38.945309492,4.0,0.695402745630364
GJ 180 d,GJ 180,5589.0,0.9583,0.43,0.017,M Warm Superterran,7.56,2.66,0.2602443980990179,204.7205672802464,106.3,38.945309492,4.0,0.475466399218914
GJ 229 A c,GJ 229,5589.0,0.9583,0.58,0.017,M Warm Superterran,8.58137,2.87,0.4370866808747376,227.7645573585606,121.93268,18.7743221344,0.4,0.560159894288723
GJ 229 A c,GJ 229,5589.0,0.9583,0.509,0.017,M Warm Superterran,8.58137,2.87,0.4370866808747376,227.7645573585606,121.93268,18.7743221344,0.4,0.560159894288723
GJ 273 b,GJ 273,3382.0,0.293,0.29,0.09,M Warm Terran,2.89,1.51,1.064476588746966,291.6700194895948,18.6498,12.34846216290474,4.0,0.8546375895745704
GJ 3293 d,GJ 3293,3466.0,0.404,0.42,0.02,M Warm Superterran,7.6,2.67,0.5885926980570722,251.3040314294288,48.1345,65.851874868,4.0,0.6297766025524363
GJ 357 d,GJ 357,3505.0,0.337,0.342,-0.12,M Warm Superterran,6.1,2.34,0.3825953304140644,226.2613829674902,55.661,30.7950298236,4.0,0.5755175196683111
GJ 367 d,GJ 367,3522.0,0.458,0.455,-0.01,M Warm Superterran,6.03,2.33,1.145208998867472,296.5086154194831,34.369,30.6998575028,4.0,0.7135547188279516
GJ 433 d,GJ 433,5589.0,0.9583,0.48,0.017,M Warm Superterran,5.223,2.14,1.059806630466422,291.6300979381335,36.059,29.5646063136,4.0,0.742460049806399
GJ 514 b,GJ 514,3728.0,0.5,0.51,-0.14,M Warm Superterran,5.2,2.13,0.2700907757332474,198.9284556040379,140.43,24.8458465368,0.8,0.5201008375321021
GJ 667 C c,GJ 667 C,3650.0,0.9583,0.96,0.017,M Warm Superterran,3.8,1.77,0.8775398558709887,278.4259152810632,28.14,23.6266101776,2.0,0.7981014007944902
GJ 667 C c,GJ 667 C,3650.0,0.9583,0.96,0.017,M Warm Superterran,3.8,1.77,0.8775398558709887,278.4259152810632,28.14,23.6266101776,2.0,0.7981014007944902
GJ 667 C c,GJ 667 C,5589.0,0.9583,0.96,0.017,M Warm Superterran,3.8,1.77,0.8775398558709887,278.4259152810632,28.14,23.6266101776,2.0,0.7981014007944902
GJ 667 C c,GJ 667 C,3350.0,0.9583,0.33,-0.55,M Warm Superterran,3.8,1.77,0.8775398558709887,278.4259152810632,28.14,23.6266101776,2.0,0.7981014007944902
GJ 667 C e,GJ 667 C,3350.0,0.9583,0.33,-0.55,M Warm Terran,2.7,1.45,0.3022231093474442,213.2921445072652,62.24,23.6266101776,2.0,0.5994658440247006
GJ 667 C f,GJ 667 C,3350.0,0.9583,0.33,-0.55,M Warm Terran,2.7,1.45,0.5635679978950997,249.2233830204183,39.026,23.6266101776,2.0,0.763729929492645
GJ 682 b,GJ 682,3028.0,0.9583,0.27,0.017,M Warm Superterran,4.4,1.93,0.3134831734758324,215.0089377540992,17.478,16.3296850676,4.0,0.5676058263379796
HD 216520 c,HD 216520,5103.0,0.76,0.82,-0.16,K Warm Superterran,9.44,3.03,1.276091475504485,304.9412596785313,154.43,63.77002112,6.0,0.6336328430066284
HD 40307 g,HD 40307,4956.0,0.9583,0.77,-0.31,K Warm Superterran,7.1,2.56,0.6664590500042545,255.7196682856674,197.8,42.19251862799999,4.5,0.6593528035498593
HD 40307 g,HD 40307,4867.44,0.716684,0.79,-0.3231,K Warm Superterran,7.1,2.56,0.6664590500042545,255.7196682856674,197.8,42.19251862799999,4.5,0.6593528035498593
HIP 38594 b,HIP 38594,5589.0,0.9583,0.61,0.017,M Warm Superterran,8.1,2.77,1.342419006109719,307.9746662247606,60.722,58.018586216,4.0,0.6522963749465374
HN Lib b,HN Lib,3347.0,0.299,0.291,-0.18,M Warm Superterran,5.46,2.2,0.5053819910495633,242.2818673718972,36.116,20.3665504952,4.4,0.6474514925735746
K2-18 b,K2-18,3464.0,0.444516,0.440668,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3457.0,0.411,0.359,0.123,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3496.0,0.4,0.42,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3464.0,0.444516,0.96,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3457.0,0.411,0.359,0.12,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3457.0,0.4445,0.4951,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3457.0,0.411,0.359,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3449.0,0.468,0.32,0.0,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3440.0,0.36,0.96,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,3503.0,0.394,0.413,0.09,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-18 b,K2-18,5589.0,0.249,0.96,0.017,M Warm Superterran,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,4.0,0.7009376843765194
K2-288 B b,K2-288 B,3341.0,0.32,0.33,-0.21,M Warm Superterran,4.27,1.9,0.436829846423085,233.8856609951522,31.393463,214.003345528,1.0,0.6464881419295536
K2-288 B b,K2-288 B,5589.0,0.312,0.96,0.017,M Warm Superterran,4.27,1.9,0.436829846423085,233.8856609951522,31.393463,214.003345528,1.0,0.6464881419295536
K2-3 d,K2-3,3927.0,0.58,0.96,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3835.0,0.6,0.62,-0.01,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3896.0,0.561,0.601,-0.32,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,5589.0,0.553,0.612,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3896.0,0.56,0.6,-0.32,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,5589.0,0.561,0.96,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3896.0,0.561,0.601,-0.32,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3844.0,0.546,0.549,-0.157,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,5589.0,0.371,0.96,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3841.0,0.371,0.414,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3835.0,0.6,0.62,-0.01,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3896.0,0.561,0.601,-0.32,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3896.0,0.561,0.601,-0.32,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-3 d,K2-3,3920.0,0.550856,0.546024,0.017,M Warm Terran,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193
K2-332 b,K2-332,3315.0,0.28,0.27,0.09,M Warm Superterran,5.48,2.2,1.16654249688907,298.9858686507328,17.70632,401.83071512,4.0,0.7293212064959401
K2-332 b,K2-332,5589.0,0.205,0.96,0.017,M Warm Superterran,5.48,2.2,1.16654249688907,298.9858686507328,17.70632,401.83071512,4.0,0.7293212064959401
K2-332 b,K2-332,3266.0,0.289676,0.264883,0.017,M Warm Superterran,5.48,2.2,1.16654249688907,298.9858686507328,17.70632,401.83071512,4.0,0.7293212064959401
K2-72 e,K2-72,3497.0,0.232,0.217,0.017,M Warm Terran,2.21,1.29,1.303262132935844,306.685393152554,24.158868,216.672280076,4.0,0.8708235731580869
K2-72 e,K2-72,3360.47,0.330989,0.271365,0.017,M Warm Terran,2.21,1.29,1.303262132935844,306.685393152554,24.158868,216.672280076,4.0,0.8708235731580869
K2-9 b,K2-9,3468.0,0.25,0.24,-0.46,M Warm Superterran,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543
K2-9 b,K2-9,3390.0,0.31,0.3,-0.25,M Warm Superterran,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543
K2-9 b,K2-9,5589.0,0.468,0.96,0.017,M Warm Superterran,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543
K2-9 b,K2-9,3765.0,0.52,0.96,0.017,M Warm Superterran,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543
K2-9 b,K2-9,4052.0,0.468,0.519,0.017,M Warm Superterran,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543
Kepler-1229 b,Kepler-1229,3724.0,0.414,0.431,-0.4,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3577.0,0.45,0.48,0.16,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,4013.0,0.52,0.543,0.017,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3577.0,0.569,0.96,0.017,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3576.0,0.463,0.482,0.16,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3774.0,0.565878,0.559315,0.017,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3774.0,0.565878,0.559315,0.017,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3784.0,0.51,0.54,-0.06,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1229 b,Kepler-1229,3774.0,0.565878,0.559315,0.017,M Warm Terran,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617
Kepler-1410 b,Kepler-1410,4031.25,0.9583,0.96,-0.0345,K Warm Superterran,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133
Kepler-1410 b,Kepler-1410,4092.0,0.6,0.63,0.01,K Warm Superterran,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133
Kepler-1410 b,Kepler-1410,4031.25,0.9583,0.96,-0.0345,K Warm Superterran,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133
Kepler-1410 b,Kepler-1410,3950.0,0.566,0.594,0.04,K Warm Superterran,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133
Kepler-1410 b,Kepler-1410,3903.0,0.523,0.541,-0.2,K Warm Superterran,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133
